best_eval_accuracy = 0.2743718592964824
eval_accuracy = 0.2743718592964824
eval_loss = 1.3837420621657754
global_step = 832
loss = 0.35055488902219556
0	1	2	[0.8    0.7676 0.8003 0.745 ]
55	1	1	[0.8003 0.8354 0.7344 0.779 ]
56	2	3	[0.742 0.708 0.748 0.776]
57	2	1	[0.6445 0.6494 0.6445 0.6445]
58	0	0	[0.638  0.633  0.6333 0.633 ]
59	1	0	[0.7515 0.74   0.7056 0.7114]
60	3	3	[0.897  0.8857 0.8853 0.9077]
61	3	0	[0.9097 0.9053 0.81   0.883 ]
62	1	3	[0.565  0.529  0.5356 0.576 ]
63	3	2	[0.787 0.792 0.825 0.809]
64	2	0	[0.6167 0.5933 0.5938 0.616 ]
65	3	1	[0.6797 0.7085 0.6914 0.691 ]
66	0	2	[0.627 0.615 0.644 0.615]
67	0	1	[0.667  0.7573 0.6895 0.7007]
68	3	3	[0.5796 0.6245 0.6187 0.63  ]
69	2	0	[0.793  0.713  0.747  0.7637]
70	0	0	[0.6665 0.6553 0.655  0.6553]
71	3	0	[0.8843 0.884  0.8623 0.868 ]
72	1	1	[0.777 0.788 0.788 0.788]
73	2	2	[0.788 0.788 0.805 0.777]
74	0	3	[0.6665 0.6616 0.592  0.678 ]
75	1	2	[0.923  0.9116 0.94   0.906 ]
76	1	3	[0.576  0.576  0.5767 0.582 ]
77	0	0	[0.607  0.59   0.584  0.5835]
78	0	1	[0.792  0.815  0.815  0.7925]
79	1	1	[0.6074 0.6367 0.608  0.608 ]
80	3	1	[0.9062 0.9233 0.9004 0.918 ]
81	1	3	[0.5596 0.577  0.5713 0.589 ]
82	0	2	[0.6465 0.6465 0.6694 0.663 ]
83	1	0	[0.68   0.68   0.6743 0.669 ]
84	1	2	[0.7017 0.6963 0.713  0.685 ]
85	0	1	[0.6973 0.76   0.7544 0.7485]
86	0	3	[0.867 0.84  0.862 0.901]
87	3	2	[0.7153 0.7153 0.7324 0.7266]
88	3	2	[0.8564 0.828  0.8677 0.8394]
89	3	0	[0.7896 0.762  0.774  0.774 ]
90	3	3	[0.5986 0.611  0.6167 0.6797]
91	2	3	[0.6465 0.657  0.6353 0.6636]
92	0	2	[0.645  0.634  0.6562 0.6504]
93	2	3	[0.6577 0.6577 0.657  0.68  ]
94	1	3	[0.58  0.58  0.58  0.592]
95	2	2	[0.6436 0.6436 0.6714 0.649 ]
96	0	3	[0.71   0.6987 0.7153 0.716 ]
97	1	2	[0.5815 0.581  0.61   0.581 ]
98	0	2	[0.7153 0.698  0.721  0.721 ]
99	2	2	[0.691  0.7715 0.777  0.7715]
100	0	0	[0.777  0.691  0.7715 0.7715]
101	2	0	[0.5806 0.5454 0.5576 0.5693]
102	1	1	[0.687 0.722 0.693 0.704]
103	1	0	[0.6265 0.604  0.6094 0.5923]
104	3	2	[0.6245 0.652  0.658  0.6577]
105	3	3	[0.658  0.6245 0.652  0.6636]
106	1	2	[0.6167 0.6675 0.7188 0.6787]
107	1	3	[0.6167 0.667  0.6787 0.7188]
108	1	1	[0.612 0.624 0.607 0.612]
109	1	3	[0.6685 0.669  0.646  0.685 ]
110	2	1	[1.044 1.081 1.054 1.049]
111	2	2	[0.5664 0.561  0.614  0.5557]
112	0	3	[0.819  0.8296 0.824  0.852 ]
113	3	0	[0.8936 0.8823 0.8774 0.888 ]
114	2	2	[0.589  0.5884 0.6055 0.5835]
115	3	2	[0.933  0.9326 0.9673 0.938 ]
116	0	0	[0.8257 0.7754 0.792  0.776 ]
117	1	3	[0.711  0.705  0.711  0.7334]
118	0	0	[0.772  0.72   0.7373 0.7144]
119	1	3	[0.6846 0.6963 0.69   0.741 ]
120	0	3	[0.7065 0.69   0.6846 0.741 ]
121	1	2	[0.549  0.549  0.5605 0.549 ]
122	0	1	[0.5474 0.553  0.5527 0.553 ]
123	3	2	[0.861  0.849  0.9272 0.8555]
124	2	0	[0.5713 0.5654 0.5713 0.531 ]
125	2	1	[0.6934 0.7163 0.6934 0.705 ]
126	2	0	[0.605  0.571  0.576  0.5703]
127	1	0	[0.6553 0.644  0.6104 0.616 ]
128	2	2	[0.8853 0.9194 0.9253 0.9077]
129	3	1	[0.8853 0.9194 0.9077 0.914 ]
130	1	2	[0.883  0.9224 0.934  0.9053]
131	1	3	[0.883  0.9224 0.9053 0.934 ]
132	2	2	[0.745  0.7627 0.774  0.7397]
133	2	0	[0.856  0.8325 0.85   0.833 ]
134	2	0	[0.7373 0.7373 0.7314 0.686 ]
135	1	1	[0.6367 0.6763 0.642  0.6255]
136	2	1	[0.785  0.7905 0.7793 0.785 ]
137	3	1	[0.6094 0.6206 0.5864 0.604 ]
138	3	2	[0.5576 0.5347 0.558  0.546 ]
139	1	2	[0.541 0.576 0.599 0.582]
140	1	3	[0.582 0.565 0.541 0.599]
141	3	3	[0.7456 0.7456 0.74   0.7515]
142	1	1	[0.79   0.8584 0.8013 0.8125]
143	1	0	[0.679  0.6626 0.6567 0.651 ]
144	3	0	[0.593  0.5757 0.5815 0.587 ]
145	3	0	[0.6533 0.602  0.631  0.636 ]
146	2	1	[0.657  0.6685 0.635  0.6294]
147	3	2	[0.5986 0.5815 0.599  0.593 ]
148	0	1	[0.686  0.692  0.6855 0.686 ]
149	3	1	[0.6855 0.692  0.686  0.6807]
150	0	1	[0.574  0.591  0.574  0.5737]
151	1	1	[0.591  0.6084 0.5737 0.574 ]
152	1	0	[0.667 0.628 0.662 0.629]
153	0	2	[0.645  0.6167 0.667  0.662 ]
154	0	1	[0.7    0.7397 0.7056 0.6836]
155	2	3	[0.6445 0.639  0.634  0.656 ]
156	3	1	[0.563  0.5806 0.563  0.5806]
157	1	3	[0.5894 0.5776 0.5835 0.6   ]
158	2	1	[0.777 0.782 0.766 0.771]
159	3	2	[0.833 0.839 0.861 0.849]
160	0	3	[0.6963 0.7188 0.7075 0.724 ]
161	1	3	[0.7173 0.712  0.7173 0.752 ]
162	2	1	[0.72   0.749  0.7256 0.7256]
163	3	2	[0.6772 0.6885 0.6943 0.694 ]
164	3	1	[0.6772 0.6943 0.6885 0.6943]
165	2	3	[0.56   0.6006 0.5483 0.607 ]
166	0	1	[0.76   0.7715 0.7256 0.737 ]
167	3	0	[0.8906 0.874  0.8633 0.8687]
168	3	0	[0.72   0.6523 0.6865 0.6914]
169	0	0	[0.5415 0.53   0.5415 0.517 ]
170	2	1	[0.53   0.5415 0.517  0.5356]
171	0	0	[0.6426 0.6196 0.619  0.6367]
172	2	2	[0.8413 0.841  0.846  0.8457]
173	3	0	[0.896  0.8125 0.79   0.818 ]
174	0	0	[0.6655 0.66   0.6655 0.591 ]
175	2	1	[0.601  0.6655 0.6655 0.66  ]
176	1	0	[0.8354 0.78   0.808  0.7964]
177	1	2	[0.7397 0.745  0.7505 0.745 ]
178	1	3	[0.6367 0.648  0.654  0.659 ]
179	0	3	[0.766  0.7773 0.772  0.789 ]
180	0	2	[0.706 0.701 0.729 0.723]
181	2	2	[0.788  0.766  0.7993 0.7656]
182	0	0	[0.8447 0.828  0.834  0.828 ]
183	3	0	[0.77   0.7593 0.77   0.7593]
184	3	2	[0.6797 0.6636 0.7256 0.6797]
185	1	0	[0.815  0.7817 0.799  0.793 ]
186	2	3	[0.6147 0.6147 0.6147 0.6313]
187	3	1	[0.6055 0.634  0.6055 0.6055]
188	0	1	[0.605  0.634  0.6055 0.6055]
189	1	0	[0.748  0.7427 0.7427 0.7427]
190	1	3	[0.8086 0.8135 0.814  0.8306]
191	1	1	[0.5576 0.662  0.6035 0.592 ]
192	1	2	[0.924 0.924 0.963 0.924]
193	1	2	[0.714  0.7026 0.719  0.7085]
194	2	0	[0.641  0.618  0.6245 0.6133]
195	0	0	[0.7505 0.7163 0.7334 0.728 ]
196	2	2	[0.5884 0.623  0.639  0.634 ]
197	1	3	[0.552  0.569  0.5864 0.592 ]
198	1	3	[0.7197 0.7197 0.663  0.72  ]
199	0	0	[0.7646 0.736  0.7417 0.7524]
200	0	0	[0.701  0.6895 0.6953 0.6387]
201	0	0	[0.707  0.6387 0.6895 0.6953]
202	1	2	[0.657  0.6235 0.662  0.652 ]
203	0	3	[0.666  0.666  0.689  0.6943]
204	2	2	[0.699  0.6255 0.6997 0.6997]
205	0	0	[0.7114 0.706  0.7007 0.7007]
206	3	2	[0.6914 0.6973 0.714  0.697 ]
207	1	3	[0.6973 0.7026 0.6914 0.714 ]
208	3	0	[0.738  0.732  0.7324 0.7324]
209	2	1	[0.856  0.8677 0.8564 0.833 ]
210	2	0	[0.5547 0.543  0.531  0.554 ]
211	2	0	[0.7407 0.729  0.74   0.735 ]
212	3	2	[0.611  0.616  0.6387 0.6387]
213	0	3	[0.7144 0.7144 0.7256 0.7314]
214	0	1	[0.577  0.5835 0.554  0.567 ]
215	0	3	[0.6626 0.651  0.6562 0.668 ]
216	2	3	[0.7603 0.7603 0.7437 0.7666]
217	0	2	[0.725 0.725 0.781 0.719]
218	3	2	[0.7773 0.7773 0.794  0.7773]
219	2	3	[0.937  0.966  0.9434 0.988 ]
220	2	3	[0.8857 0.8853 0.88   0.897 ]
221	0	0	[0.6123 0.6006 0.612  0.606 ]
222	1	1	[0.612  0.623  0.606  0.6006]
223	2	2	[0.8213 0.7817 0.833  0.7935]
224	3	0	[0.853  0.7915 0.797  0.785 ]
225	3	0	[0.5854 0.5566 0.551  0.5796]
226	3	0	[0.698  0.676  0.6924 0.687 ]
227	2	0	[0.9087 0.881  0.8647 0.8916]
228	3	1	[0.6035 0.6157 0.615  0.6104]
229	2	2	[0.6035 0.615  0.627  0.6157]
230	0	1	[0.9116 0.9175 0.9062 0.917 ]
231	0	0	[0.733  0.682  0.7275 0.7324]
232	3	0	[0.808  0.808  0.7744 0.785 ]
233	1	3	[0.697  0.702  0.7134 0.719 ]
234	0	1	[0.753  0.7573 0.7417 0.7417]
235	2	1	[0.573  0.5903 0.561  0.55  ]
236	1	3	[0.6963 0.7026 0.702  0.7075]
237	3	3	[0.702  0.7075 0.6963 0.719 ]
238	3	1	[0.639 0.645 0.617 0.634]
239	1	2	[0.6167 0.6504 0.6616 0.656 ]
240	1	2	[0.656  0.6445 0.6616 0.6167]
241	0	0	[0.6504 0.617  0.639  0.645 ]
242	0	1	[0.7095 0.738  0.692  0.6465]
243	3	3	[0.6777 0.678  0.6274 0.684 ]
244	3	1	[0.7104 0.7495 0.739  0.744 ]
245	3	2	[0.7573 0.768  0.779  0.7573]
246	2	0	[0.699  0.6934 0.653  0.682 ]
247	1	1	[0.689 0.7   0.683 0.683]
248	1	1	[0.7783 0.7905 0.779  0.773 ]
249	2	0	[0.816  0.793  0.7935 0.793 ]
250	2	0	[0.816  0.793  0.7876 0.793 ]
251	2	1	[0.7783 0.779  0.7783 0.773 ]
252	2	2	[0.5806 0.552  0.6104 0.564 ]
253	0	0	[0.669  0.641  0.6523 0.647 ]
254	1	0	[0.593 0.552 0.552 0.534]
255	0	3	[0.9395 0.889  0.9004 0.974 ]
256	1	0	[0.707  0.6787 0.673  0.6733]
257	0	1	[0.628  0.634  0.6333 0.5757]
258	2	1	[0.6655 0.6763 0.6543 0.6597]
259	1	2	[0.834  0.8286 0.84   0.8345]
260	3	3	[0.614  0.602  0.6426 0.654 ]
261	0	1	[0.664  0.6875 0.629  0.6465]
262	0	0	[0.7173 0.6597 0.654  0.6714]
263	1	0	[0.5757 0.5757 0.575  0.57  ]
264	2	1	[0.533  0.5386 0.5386 0.5327]
265	0	2	[0.5493 0.5435 0.5674 0.5376]
266	2	0	[0.7397 0.7285 0.7285 0.6597]
267	3	0	[0.66   0.6313 0.5854 0.603 ]
268	2	3	[0.9775 0.9717 0.9834 1.005 ]
269	2	1	[0.7495 0.7764 0.749  0.755 ]
270	2	2	[0.717  0.722  0.7393 0.7217]
271	3	0	[0.7275 0.7217 0.717  0.722 ]
272	2	2	[0.636  0.6304 0.653  0.6304]
273	1	3	[0.6733 0.684  0.6733 0.7017]
274	3	0	[0.7017 0.6733 0.6733 0.7017]
275	0	3	[0.7095 0.693  0.6753 0.7153]
276	3	2	[0.693  0.6753 0.7153 0.6987]
277	0	0	[0.7104 0.648  0.6763 0.7036]
278	3	1	[0.985  0.9966 0.9966 0.9736]
279	0	2	[0.872 0.878 0.906 0.828]
280	0	2	[0.742  0.7197 0.7534 0.748 ]
281	3	2	[0.6567 0.6504 0.662  0.651 ]
282	3	2	[0.6743 0.6797 0.691  0.663 ]
283	2	1	[0.674  0.679  0.6396 0.6733]
284	0	2	[0.5703 0.5703 0.588  0.5703]
285	3	0	[0.685  0.6167 0.68   0.6797]
286	3	0	[0.599  0.5693 0.581  0.593 ]
287	0	3	[0.89   0.896  0.8955 0.907 ]
288	1	2	[0.7534 0.8604 0.888  0.809 ]
289	0	3	[0.625 0.625 0.642 0.67 ]
290	3	0	[0.7334 0.7114 0.728  0.722 ]
291	2	1	[0.728  0.7334 0.7114 0.7114]
292	1	0	[0.7334 0.722  0.733  0.717 ]
293	3	0	[0.7334 0.733  0.717  0.728 ]
294	1	2	[0.5713 0.56   0.583  0.56  ]
295	0	1	[0.571  0.583  0.5713 0.56  ]
296	1	3	[0.576  0.5996 0.588  0.611 ]
297	3	1	[0.588  0.611  0.576  0.5986]
298	3	3	[0.6377 0.632  0.649  0.66  ]
299	1	1	[0.756  0.7676 0.756  0.7505]
300	2	0	[0.729  0.695  0.6724 0.6836]
301	3	0	[0.6997 0.6826 0.694  0.694 ]
302	1	3	[0.694  0.694  0.6826 0.6997]
303	2	1	[0.8057 0.8115 0.783  0.7554]
304	1	2	[0.8984 0.8984 0.899  0.899 ]
305	1	1	[0.65   0.6724 0.6616 0.6724]
306	0	0	[0.6387 0.61   0.61   0.5522]
307	1	1	[0.61   0.6387 0.5522 0.61  ]
308	1	1	[0.8457 0.8735 0.813  0.857 ]
309	2	1	[0.6987 0.716  0.6646 0.7046]
310	3	2	[0.698  0.6816 0.6987 0.6704]
311	0	3	[0.7207 0.6978 0.72   0.726 ]
312	1	2	[0.72   0.72   0.726  0.6978]
313	3	0	[0.587  0.5576 0.552  0.5693]
314	1	2	[0.8594 0.8545 0.865  0.8594]
315	0	0	[0.883  0.861  0.8667 0.861 ]
316	2	0	[0.7266 0.721  0.7036 0.7153]
317	2	0	[0.791  0.74   0.7466 0.746 ]
318	2	3	[0.634  0.6343 0.6113 0.651 ]
319	0	3	[0.783 0.733 0.789 0.794]
320	0	3	[0.7505 0.7217 0.7446 0.762 ]
321	0	1	[0.7456 0.751  0.717  0.7397]
322	0	0	[0.5405 0.5117 0.487  0.5176]
323	0	1	[0.5425 0.6177 0.5547 0.549 ]
324	2	1	[0.684  0.7065 0.7007 0.673 ]
325	2	1	[0.673  0.7065 0.69   0.684 ]
326	1	1	[0.632  0.6494 0.626  0.6147]
327	2	0	[0.5874 0.5337 0.5874 0.503 ]
328	3	3	[0.8955 0.941  0.924  0.9634]
329	3	3	[0.749  0.726  0.771  0.7764]
330	0	2	[0.4968 0.4966 0.503  0.4966]
331	2	0	[0.6675 0.639  0.6455 0.628 ]
332	2	0	[1.024 1.003 1.003 1.003]
333	2	1	[1.003 1.024 1.008 1.003]
334	3	0	[0.812  0.801  0.7437 0.812 ]
335	2	0	[0.8745 0.853  0.853  0.8584]
336	2	1	[0.721  0.727  0.7217 0.721 ]
337	2	2	[0.5864 0.597  0.6025 0.5913]
338	2	3	[0.5864 0.5913 0.5913 0.597 ]
339	3	2	[0.726  0.721  0.7324 0.7324]
340	2	2	[0.7324 0.726  0.7437 0.721 ]
341	2	0	[0.7275 0.721  0.7163 0.727 ]
342	2	1	[0.721  0.7275 0.727  0.727 ]
343	1	1	[0.6294 0.681  0.583  0.612 ]
344	3	2	[0.7627 0.762  0.78   0.757 ]
345	3	2	[0.66   0.626  0.7173 0.649 ]
346	2	2	[0.6733 0.6733 0.679  0.639 ]
347	0	1	[0.856  0.861  0.85   0.8447]
348	0	2	[0.8394 0.85   0.861  0.8447]
349	3	3	[0.6416 0.664  0.67   0.698 ]
350	2	3	[0.8457 0.845  0.8457 0.8516]
351	1	1	[0.8423 0.8696 0.825  0.854 ]
352	2	0	[0.7695 0.741  0.7524 0.7637]
353	3	3	[0.811  0.8228 0.8115 0.833 ]
354	0	0	[0.5923 0.557  0.545  0.539 ]
355	0	0	[1.039 1.033 1.033 1.012]
356	3	1	[0.5454 0.5625 0.556  0.551 ]
357	3	0	[0.603  0.5854 0.58   0.5684]
358	0	1	[0.6294 0.646  0.635  0.612 ]
359	3	1	[0.589  0.617  0.6    0.5996]
360	2	1	[0.76   0.7705 0.7373 0.748 ]
361	2	1	[0.5464 0.5874 0.5757 0.546 ]
362	0	3	[0.8496 0.8496 0.827  0.861 ]
363	1	1	[0.7593 0.782  0.7705 0.7437]
364	1	3	[0.693  0.6753 0.681  0.7153]
365	3	0	[0.6055 0.605  0.605  0.599 ]
366	1	3	[0.605  0.565  0.605  0.6055]
367	2	2	[0.726  0.7197 0.749  0.703 ]
368	2	1	[0.9053 0.9336 0.8716 0.905 ]
369	1	1	[0.7534 0.759  0.742  0.754 ]
370	0	0	[0.731  0.635  0.6797 0.6797]
371	2	2	[0.7    0.6436 0.735  0.695 ]
372	0	1	[0.689  0.7    0.6436 0.695 ]
373	1	0	[0.6045 0.5986 0.5923 0.593 ]
374	2	0	[0.6763 0.6704 0.6763 0.636 ]
375	1	3	[0.636  0.654  0.6704 0.6763]
376	3	2	[0.6533 0.642  0.658  0.6367]
377	0	1	[0.6416 0.658  0.642  0.6533]
378	0	0	[0.6953 0.6333 0.695  0.684 ]
379	2	2	[0.657  0.6685 0.6914 0.669 ]
380	3	3	[0.669  0.657  0.6685 0.697 ]
381	2	3	[0.662  0.668  0.6567 0.674 ]
382	3	2	[0.662  0.668  0.674  0.6567]
383	2	2	[0.551  0.4963 0.5566 0.5566]
384	1	3	[0.771  0.771  0.7705 0.81  ]
385	0	1	[0.7603 0.7607 0.738  0.7603]
386	3	1	[0.9023 0.947  0.913  0.9243]
387	0	1	[0.5547 0.572  0.5664 0.537 ]
388	2	1	[0.6665 0.667  0.6333 0.639 ]
389	1	0	[0.8955 0.857  0.8506 0.8735]
390	1	3	[0.649  0.6606 0.644  0.6714]
391	3	1	[0.669  0.68   0.669  0.6577]
392	1	0	[0.6836 0.6606 0.667  0.683 ]
393	2	2	[0.576  0.645  0.7373 0.6333]
394	1	1	[0.573  0.591  0.5557 0.5674]
395	3	0	[0.755  0.715  0.7085 0.7495]
396	0	2	[0.6733 0.6733 0.685  0.6846]
397	2	0	[0.588  0.5767 0.565  0.5596]
398	3	1	[0.6177 0.652  0.6357 0.652 ]
399	0	0	[0.642  0.619  0.6304 0.6357]
400	3	1	[0.7686 0.774  0.7686 0.768 ]
401	2	0	[0.6914 0.6753 0.6694 0.675 ]
402	0	0	[0.7354 0.6553 0.6836 0.661 ]
403	1	2	[0.6807 0.6753 0.6865 0.67  ]
404	3	1	[0.5664 0.5835 0.572  0.572 ]
405	0	0	[0.6196 0.609  0.6147 0.603 ]
406	1	0	[0.752  0.7344 0.735  0.7344]
407	3	2	[0.79  0.806 0.812 0.784]
408	0	2	[0.7046 0.699  0.705  0.699 ]
409	0	2	[0.604  0.598  0.622  0.6216]
410	2	3	[0.691 0.68  0.691 0.725]
411	3	3	[0.7544 0.7437 0.7437 0.7656]
412	3	0	[0.615  0.5977 0.6147 0.598 ]
413	2	1	[0.627  0.6553 0.644  0.638 ]
414	3	3	[0.571 0.582 0.571 0.588]
415	2	0	[0.582  0.571  0.5645 0.571 ]
416	2	1	[0.625 0.659 0.625 0.648]
417	2	3	[0.629  0.606  0.6064 0.635 ]
418	2	2	[0.7886 0.7725 0.789  0.7886]
419	0	1	[0.781  0.7812 0.77   0.7812]
420	3	3	[0.864  0.853  0.8525 0.88  ]
421	2	0	[0.604  0.604  0.6035 0.604 ]
422	1	2	[0.6113 0.5938 0.634  0.594 ]
423	0	3	[0.628  0.617  0.6343 0.639 ]
424	0	0	[0.573  0.5684 0.5566 0.5566]
425	3	1	[0.837 0.893 0.843 0.865]
426	2	0	[0.545 0.539 0.539 0.545]
427	0	0	[0.551 0.545 0.545 0.539]
428	3	3	[0.6196 0.625  0.6133 0.631 ]
429	3	0	[0.9146 0.837  0.8804 0.8423]
430	3	3	[0.638  0.621  0.6436 0.672 ]
431	0	2	[0.5625 0.574  0.5854 0.562 ]
432	3	1	[0.854  0.8594 0.849  0.849 ]
433	2	1	[0.617  0.6177 0.612  0.617 ]
434	2	3	[0.617  0.617  0.6123 0.6177]
435	0	2	[0.6045 0.5986 0.605  0.5933]
436	3	0	[0.62   0.586  0.6143 0.586 ]
437	0	1	[0.5933 0.605  0.5986 0.6045]
438	1	2	[0.6143 0.586  0.62   0.5923]
439	2	0	[0.671  0.61   0.62   0.6035]
440	1	1	[0.5933 0.6167 0.5938 0.6167]
441	3	3	[0.806  0.8164 0.806  0.8276]
442	1	1	[0.939  0.9453 0.928  0.9453]
443	2	1	[0.7217 0.727  0.7217 0.6987]
444	0	1	[0.716  0.727  0.7217 0.6987]
445	2	0	[0.9497 0.945  0.9497 0.933 ]
446	2	2	[0.9585 0.9585 0.959  0.9307]
447	0	2	[0.9473 0.9307 0.9585 0.9585]
448	0	2	[0.7075 0.7075 0.731  0.6963]
449	2	2	[0.5894 0.5664 0.607  0.59  ]
450	3	3	[0.7607 0.7607 0.7607 0.7666]
451	1	1	[0.729 0.747 0.729 0.746]
452	3	0	[0.5337 0.5215 0.5273 0.5103]
453	1	3	[0.517  0.5225 0.5176 0.5293]
454	1	0	[0.5293 0.523  0.5176 0.517 ]
455	1	3	[0.7163 0.7056 0.7275 0.7383]
456	0	0	[0.6084 0.58   0.569  0.563 ]
457	0	1	[0.561  0.584  0.56   0.5605]
458	0	3	[0.6294 0.6245 0.6294 0.6465]
459	3	2	[0.955  0.955  0.978  0.9663]
460	3	2	[0.9663 0.955  0.978  0.955 ]
461	1	2	[0.5967 0.6533 0.659  0.6587]
462	2	0	[0.7627 0.723  0.7573 0.7573]
463	2	0	[0.7627 0.7573 0.762  0.723 ]
464	3	3	[0.7544 0.7485 0.7544 0.7715]
465	0	2	[0.991  0.9746 1.003  1.002 ]
466	2	1	[0.5747 0.6436 0.643  0.643 ]
467	1	0	[0.8433 0.7705 0.8433 0.843 ]
468	2	1	[0.647  0.6934 0.641  0.601 ]
469	2	3	[0.6934 0.6816 0.67   0.7153]
470	3	3	[0.727  0.6753 0.7153 0.761 ]
471	0	1	[0.5693 0.5864 0.57   0.5757]
472	3	3	[0.57   0.5864 0.5757 0.598 ]
473	2	0	[1.054 1.054 1.054 1.038]
474	2	2	[0.694  0.6934 0.734  0.6885]
475	1	0	[0.735  0.718  0.7007 0.718 ]
476	1	1	[0.771  0.7983 0.7925 0.7925]
477	3	1	[0.5894 0.6353 0.595  0.59  ]
478	0	0	[0.9834 0.9604 0.9546 0.9375]
479	2	2	[0.562 0.55  0.578 0.55 ]
480	1	1	[0.8267 0.849  0.8267 0.832 ]
481	1	1	[0.656 0.69  0.656 0.604]
482	3	0	[0.775  0.7114 0.769  0.769 ]
483	0	0	[0.806  0.8057 0.7725 0.772 ]
484	1	0	[0.6787 0.6733 0.6675 0.662 ]
485	0	0	[0.7686 0.7627 0.7627 0.768 ]
486	3	1	[0.5557 0.5674 0.5615 0.556 ]
487	3	2	[0.5615 0.5557 0.5674 0.556 ]
488	0	3	[0.724  0.741  0.69   0.7705]
489	2	1	[0.816  0.8213 0.7314 0.816 ]
490	0	0	[0.751  0.711  0.7104 0.7397]
491	3	0	[0.648  0.6245 0.6416 0.6187]
492	3	2	[0.6353 0.635  0.6406 0.6294]
493	0	1	[0.8564 0.873  0.845  0.8726]
494	0	2	[0.6367 0.625  0.67   0.665 ]
495	2	3	[0.503  0.4788 0.514  0.532 ]
496	1	0	[0.574  0.502  0.5317 0.489 ]
497	1	1	[0.5317 0.5854 0.574  0.489 ]
498	1	1	[0.6    0.6113 0.6113 0.5996]
499	2	3	[0.713  0.69   0.7017 0.724 ]
500	2	0	[0.8774 0.84   0.845  0.8506]
501	0	3	[0.64   0.6353 0.635  0.6406]
502	0	2	[0.6035 0.5757 0.604  0.5693]
503	2	1	[0.906  0.9062 0.885  0.8945]
504	0	2	[0.6772 0.6606 0.689  0.649 ]
505	1	0	[0.689  0.6494 0.649  0.6606]
506	2	2	[0.6626 0.6855 0.691  0.6343]
507	2	2	[0.6343 0.6626 0.7026 0.6855]
508	2	0	[0.6504 0.6167 0.6343 0.645 ]
509	1	2	[0.732 0.715 0.749 0.72 ]
510	2	2	[0.6196 0.5796 0.6543 0.6313]
511	0	2	[0.6235 0.613  0.6416 0.63  ]
512	1	3	[0.675  0.675  0.6865 0.6973]
