best_eval_accuracy = 0.6046901172529313
eval_accuracy = 0.6046901172529313
eval_loss = 0.9667929583054813
global_step = 624
loss = 0.2193882568359375
0	1	2	[-2.002 -1.58  -1.567 -3.465]
58	0	0	[-1.17  -3.18  -2.236 -2.924]
59	1	1	[-3.094  2.832 -3.271 -1.337]
60	3	3	[-1.078  0.598  2.248  2.266]
61	3	0	[3.16  2.414 1.86  2.592]
62	1	1	[-3.158 -0.567 -2.36  -1.84 ]
63	3	2	[-4.684 -5.086 -3.55  -3.977]
64	2	2	[-1.896 -2.098 -1.778 -2.059]
65	3	2	[-3.373  -3.125  -0.7915 -1.142 ]
66	0	0	[ 1.948  -0.1859  1.79   -1.547 ]
67	0	3	[-2.082 -2.42  -3.43  -1.765]
68	3	1	[-2.996   1.597   0.2078 -0.706 ]
69	2	2	[ 1.237  -0.4912  2.459   2.361 ]
70	0	0	[ 1.179 -1.824 -3.69  -4.14 ]
71	3	2	[-4.273 -4.46  -1.519 -4.69 ]
72	1	1	[ 0.2036  0.2374 -2.367  -1.077 ]
73	2	3	[-2.367   -1.077    0.01422  0.2036 ]
74	0	0	[ 0.2815   0.1626   0.03537 -0.22   ]
75	1	1	[-3.945   0.3992 -3.701  -3.502 ]
76	1	3	[-5.387 -5.242 -4.113 -3.865]
77	0	0	[-2.096 -5.133 -4.094 -5.156]
78	0	0	[ 1.57   -1.015  -2.217  -0.9316]
79	1	1	[-5.6    1.609 -4.426 -4.45 ]
80	3	0	[-1.058 -1.272 -2.68  -2.064]
81	1	1	[-3.55  -2.719 -4.39  -4.902]
82	0	3	[-2.78  -2.594 -3.295 -2.215]
83	1	1	[-1.389  0.926  0.557 -2.227]
84	1	1	[-5.953  -0.7236 -5.273  -4.277 ]
85	0	2	[-5.96  -4.434 -3.193 -4.86 ]
86	0	0	[ 2.312 -0.379 -0.658  1.46 ]
87	3	3	[-2.62  -4.336 -3.484  0.654]
88	3	3	[-2.736 -3.523 -2.36  -0.936]
89	3	3	[-4.844 -4.824 -4.72   1.056]
90	3	3	[ 0.336  -1.6    -2.07    0.7246]
91	2	2	[-3.729 -4.58  -2.219 -2.686]
92	0	0	[ 1.728  -1.564  -2.041  -0.2969]
93	2	1	[-4.035 -1.353 -1.826 -4.05 ]
94	1	1	[-0.2383  1.332   1.254  -1.296 ]
95	2	2	[ 0.7227   0.05624  1.528   -0.1621 ]
96	0	0	[ 1.34  -2.367 -3.08  -3.434]
97	1	0	[-4.816 -5.03  -5.266 -5.45 ]
98	0	0	[-2.475 -3.908 -2.975 -4.125]
99	2	2	[-5.426 -4.977 -4.645 -4.89 ]
100	0	0	[-4.64  -5.426 -4.89  -4.977]
101	2	2	[0.952 1.793 1.873 1.019]
102	1	1	[-2.9     1.898  -2.443   0.8403]
103	1	1	[-4.656  1.873 -1.865 -2.562]
104	3	3	[-1.669   0.1526  0.2896  1.088 ]
105	3	3	[ 0.2896 -1.669   0.1526  1.472 ]
106	1	1	[-0.99    1.115   0.5615  0.3958]
107	1	1	[-0.99    1.423   0.3958  0.5615]
108	1	1	[-3.104   0.7627 -0.308  -1.162 ]
109	1	1	[ 0.02054  1.128   -0.939   -0.814  ]
110	2	2	[-1.32   -1.248  -0.3892 -2.078 ]
111	2	2	[-5.91  -4.516 -3.533 -3.932]
112	0	0	[-1.959 -3.912 -4.05  -3.998]
113	3	1	[-0.3193   0.813   -4.23     0.10693]
114	2	2	[-5.15  -4.887 -1.381 -5.84 ]
115	3	3	[-4.152 -4.055 -4.258 -1.445]
116	0	0	[ 1.6045 -0.7695 -1.254  -0.3643]
117	1	1	[-5.91  -4.566 -4.965 -5.75 ]
118	0	0	[-2.426 -4.65  -5.426 -4.93 ]
119	1	1	[ 0.8306  2.541  -0.1022  0.0596]
120	0	0	[ 2.56   -0.1022  0.8306  0.0596]
121	1	1	[-3.115 -1.551 -3.496 -3.572]
122	0	0	[ 1.29  -2.715 -3.87  -3.268]
123	3	2	[-0.3364  1.02    1.813   0.5693]
124	2	0	[-2.83  -2.87  -2.938 -3.613]
125	2	1	[-4.8   -4.46  -4.945 -5.797]
126	2	2	[-3.088 -3.531  1.407 -4.32 ]
127	1	1	[-6.19   1.239 -3.688 -4.29 ]
128	2	2	[-2.129  -0.569   0.0264 -1.653 ]
129	3	1	[-2.129 -0.569 -1.653 -1.658]
130	1	1	[-1.445  -0.1081 -1.028  -1.584 ]
131	1	3	[-1.445 -1.603 -1.584 -1.028]
132	2	2	[-1.848   1.039   2.07    0.1603]
133	2	0	[ 1.309   0.994  -1.171  -0.1758]
134	2	1	[-2.074 -1.169 -1.417 -2.312]
135	1	1	[-5.957   0.3538 -5.945  -4.55  ]
136	2	2	[-4.992  -4.7     0.2196 -4.15  ]
137	3	3	[-5.535 -6.277 -6.906 -5.426]
138	3	3	[-2.516 -1.477 -1.043  1.512]
139	1	0	[-1.587 -3.352 -1.707 -4.51 ]
140	1	2	[-4.51  -3.451 -1.587 -1.707]
141	3	2	[ 1.019  -0.8716  1.395   0.864 ]
142	1	2	[-3.521 -3.389 -3.285 -3.443]
143	1	1	[-2.352  -0.8916 -2.83   -4.48  ]
144	3	3	[-1.372 -0.822 -1.59   1.228]
145	3	3	[-0.6255 -0.9316 -2.707   4.418 ]
146	2	2	[-4.652  -4.453   0.1024 -4.28  ]
147	3	3	[-0.985  -3.805  -1.096   0.6587]
148	0	3	[-1.859 -3.59  -5.06  -1.675]
149	3	3	[-5.06  -3.59  -1.675  1.466]
150	0	1	[-4.387 -3.127 -4.426 -4.09 ]
151	1	0	[-3.127 -3.582 -4.09  -4.426]
152	1	2	[-4.3   -2.367 -2.148 -3.986]
153	0	0	[-1.761 -3.793 -4.3   -2.148]
154	0	1	[ 1.494  1.573 -0.388 -2.469]
155	2	2	[-3.951 -2.139  1.481 -2.72 ]
156	3	3	[ 2.941   0.8555 -1.679   3.22  ]
157	1	1	[-3.855  2.473 -2.184 -5.332]
158	2	2	[-4.84  -5.035 -3.633 -4.72 ]
159	3	3	[-5.766 -5.016 -5.734 -0.664]
160	0	3	[-1.72   1.005  1.854  2.307]
161	1	1	[-2.543 -1.055 -1.638 -1.977]
162	2	2	[-4.16  -4.656 -1.653 -3.691]
163	3	3	[-4.15  -3.484 -3.729 -2.904]
164	3	3	[-4.15  -3.729 -3.484 -2.488]
165	2	3	[-2.61   -0.9346 -2.123  -0.8843]
166	0	2	[ 0.08453 -0.0779   0.2546  -1.91   ]
167	3	3	[-1.959 -1.654 -2.885  1.888]
168	3	3	[-4.8   -5.945 -5.41  -2.26 ]
169	0	1	[-1.63   0.914 -3.154 -2.533]
170	2	0	[ 0.914 -3.154 -2.533 -3.646]
171	0	0	[ 0.917 -4.227 -4.42  -5.004]
172	2	0	[-3.096 -3.68  -3.41  -3.592]
173	3	3	[-1.58  -1.078 -3.168  0.932]
174	0	0	[-2.55  -3.055 -3.188 -4.75 ]
175	2	1	[-4.8   -2.518 -2.732 -2.88 ]
176	1	2	[-3.365  -1.909  -0.5977 -2.072 ]
177	1	1	[-3.953   0.676   0.5483  0.1095]
178	1	3	[-5.145 -4.92  -5.098 -4.28 ]
179	0	0	[-2.324 -3.855 -3.756 -3.693]
180	0	0	[-0.7114 -2.57   -2.947  -3.053 ]
181	2	2	[-1.537 -1.574  1.568 -2.373]
182	0	1	[-1.899 -0.599 -1.687 -2.908]
183	3	3	[-0.997  -1.678  -0.3862 -0.3218]
184	3	3	[-5.004 -3.967 -4.766 -0.14 ]
185	1	1	[-4.32  -3.73  -3.867 -3.854]
186	2	0	[-0.4683 -2.377  -1.168  -3.451 ]
187	3	3	[-1.519  -3.719  -0.2499  0.69  ]
188	0	2	[-0.452  -3.719  -0.2499 -1.519 ]
189	1	0	[ 0.2421 -2.781  -0.759  -0.742 ]
190	1	1	[-5.293 -2.768 -5.24  -5.633]
191	1	2	[-2.477  -1.1875  1.417  -0.1827]
192	1	0	[ 0.6777  0.0558  0.5317 -0.826 ]
193	1	3	[-4.57  -4.44  -4.836 -3.102]
194	2	0	[ 3.338 -1.544  2.059  0.343]
195	0	0	[ 2.04  -1.293 -2.467 -1.955]
196	2	1	[-2.762   0.778   0.1007 -0.7373]
197	1	2	[-2.35    -0.05508  0.4314  -0.7676 ]
198	1	0	[-0.3035 -1.697  -3.627  -2.205 ]
199	0	3	[1.246 0.801 1.126 1.654]
200	0	1	[-3.434 -1.317 -1.341 -5.08 ]
201	0	2	[-2.14  -5.08  -1.317 -1.341]
202	1	1	[-4.598 -4.332 -4.89  -5.227]
203	0	0	[-0.575 -1.648 -2.115 -1.696]
204	2	2	[-4.195 -5.74  -3.908 -4.28 ]
205	0	1	[-0.5835  1.089  -0.753  -0.9883]
206	3	1	[-2.373 -2.146 -4.062 -2.225]
207	1	1	[-2.146 -2.111 -2.373 -4.062]
208	3	1	[-1.462   1.035  -0.298   0.9634]
209	2	0	[-2.463 -3.994 -3.822 -2.703]
210	2	2	[-3.494  -3.34    0.0952 -0.3442]
211	2	2	[-3.459 -2.027 -1.052 -2.836]
212	3	3	[-2.623 -3.082 -3.518 -1.559]
213	0	3	[-0.6987 -3.447  -0.7905 -0.1812]
214	0	0	[-2.031 -3.512 -5.094 -2.705]
215	0	3	[-0.474  -0.4353 -1.146   0.598 ]
216	2	2	[-5.85  -6.527 -4.863 -5.164]
217	0	0	[ 1.13  -2.164 -3.658 -2.543]
218	3	0	[-2.031 -4.625 -3.137 -2.818]
219	2	2	[-1.799  -2.688   1.731   0.1824]
220	2	0	[ 0.811  -1.289   0.6685 -0.447 ]
221	0	0	[ 1.596 -1.121 -3.863 -2.426]
222	1	3	[-3.863 -2.56  -2.426 -1.121]
223	2	3	[ 0.5283  -0.9194  -0.04535  0.571  ]
224	3	3	[-2.633 -2.504 -3.01   0.765]
225	3	0	[ 2.637  -0.2996  0.7817  2.14  ]
226	3	3	[-4.17  -3.963 -4.617 -1.695]
227	2	2	[-4.918 -3.787 -3.584 -5.   ]
228	3	3	[-2.604 -3.213 -3.664 -1.65 ]
229	2	2	[-2.604 -3.664 -1.317 -3.213]
230	0	1	[-1.991 -1.456 -2.293 -2.49 ]
231	0	2	[ 0.1329  0.37    0.4792 -0.9404]
232	3	3	[-4.133  -4.914  -4.664  -1.3955]
233	1	2	[-3.477 -3.678 -3.26  -4.004]
234	0	0	[-3.35  -5.535 -5.13  -4.082]
235	2	1	[-2.727 -1.134 -1.929 -3.04 ]
236	1	1	[-1.668  2.383 -1.635 -2.215]
237	3	3	[-1.635  -2.215  -1.668   0.4631]
238	3	1	[-1.577   0.4756 -2.492  -0.1772]
239	1	1	[-2.943 -0.649 -1.102 -2.068]
240	1	1	[-2.068   0.1609 -1.102  -2.943 ]
241	0	3	[-0.8115 -2.492  -1.577   0.4756]
242	0	1	[-5.68  -4.535 -5.766 -6.68 ]
243	3	3	[-5.465 -5.355 -5.438 -4.363]
244	3	1	[-6.395 -4.867 -5.77  -5.832]
245	3	2	[-3.43  -2.363  0.774 -1.616]
246	2	2	[-1.942  -2.473   0.3472 -1.467 ]
247	1	0	[ 0.918   0.7676 -1.661  -1.051 ]
248	1	0	[ 1.551    0.8315   0.745   -0.04004]
249	2	1	[ 0.815   1.709   0.1415 -1.465 ]
250	2	3	[ 0.815  -1.465   1.2705  1.709 ]
251	2	0	[ 1.551    0.745    1.445   -0.04004]
252	2	3	[1.433 2.719 1.61  3.273]
253	0	0	[-1.978 -5.316 -5.65  -5.582]
254	1	1	[-6.844  0.746 -6.598 -4.586]
255	0	0	[ 1.64   -0.426  -1.456   0.7334]
256	1	1	[-2.934  0.591 -2.664 -2.936]
257	0	2	[-2.855 -2.838 -0.443 -5.36 ]
258	2	2	[-1.833  -1.952   1.981  -0.2261]
259	1	1	[-0.6763  1.407  -2.715  -4.777 ]
260	3	3	[-2.912 -3.69  -2.104 -2.01 ]
261	0	0	[-2.086 -3.66  -3.307 -2.574]
262	0	0	[2.555 1.307 1.185 1.028]
263	1	1	[-1.18    1.549   0.531  -0.5757]
264	2	2	[-1.94   -3.893  -0.5874 -2.582 ]
265	0	3	[-6.293 -6.242 -6.387 -6.203]
266	2	2	[-5.492 -3.604  0.504 -5.684]
267	3	1	[-0.6963  2.555  -1.465   1.874 ]
268	2	2	[-5.336 -5.406 -4.348 -5.117]
269	2	2	[-2.588 -3.93  -2.39  -3.418]
270	2	2	[-0.651  -0.867   0.5996  0.578 ]
271	3	1	[-0.8315  0.578  -0.651  -0.867 ]
272	2	0	[-0.5977 -2.06   -1.972  -3.777 ]
273	1	0	[ 2.021    1.298   -0.04883  1.252  ]
274	3	2	[ 1.252   -0.04883  2.021   -0.6724 ]
275	0	1	[ 2.479  2.592 -0.209  2.008]
276	3	0	[ 2.592 -0.209  2.008  1.997]
277	0	2	[-3.986 -5.168 -2.605 -2.781]
278	3	1	[-3.643 -2.967 -4.574 -3.512]
279	0	2	[-1.206  -1.911  -0.4785 -2.107 ]
280	0	0	[ 0.4502 -4.016  -3.422  -2.559 ]
281	3	2	[-1.761 -1.811 -1.737 -1.876]
282	3	1	[2.535 2.588 0.596 2.498]
283	2	0	[ 1.5205  0.5044 -2.312   1.324 ]
284	0	0	[-3.01  -3.254 -4.027 -3.436]
285	3	0	[-3.613 -4.254 -4.11  -3.854]
286	3	3	[-2.98  -3.668 -4.363 -1.179]
287	0	0	[-2.559 -4.098 -3.334 -4.547]
288	1	2	[-1.45   -0.116   0.1276 -0.3577]
289	0	0	[-0.5845 -2.957  -3.22   -0.898 ]
290	3	3	[ 0.9414 -0.343   1.003   1.504 ]
291	2	0	[ 1.003   0.9414  0.4143 -0.343 ]
292	1	2	[-1.302    0.3914   1.433    0.05997]
293	3	1	[-1.302    1.433    0.05997  1.12   ]
294	1	1	[-4.15  -1.167 -6.48  -5.277]
295	0	0	[-2.873 -6.48  -4.15  -5.277]
296	1	1	[-3.852  1.013 -2.86  -2.025]
297	3	3	[-2.86   -2.025  -3.852  -1.1455]
298	3	3	[0.2542 2.168  2.254  3.723 ]
299	1	1	[2.418 2.6   1.005 2.543]
300	2	2	[-3.408 -3.217 -1.809 -2.918]
301	3	3	[-0.1855 -1.083  -0.744   0.5444]
302	1	1	[-0.744   -0.04224 -1.083   -0.1855 ]
303	2	2	[-1.466 -3.273  2.229 -1.571]
304	1	1	[0.4849 2.037  0.2445 0.0932]
305	1	1	[ 0.11456  0.8765  -1.469   -0.3286 ]
306	0	1	[-0.2888  2.533  -3.062  -2.98  ]
307	1	0	[ 2.533    0.05228 -2.98    -3.062  ]
308	1	1	[-3.12    0.4294 -3.723  -3.041 ]
309	2	3	[-1.073e+00 -1.325e+00 -2.043e+00  7.291e-04]
310	3	0	[-2.424 -4.484 -2.814 -3.227]
311	0	0	[ 0.0985 -1.802  -0.5127 -1.088 ]
312	1	0	[-0.5127 -1.051  -1.088  -1.802 ]
313	3	3	[-6.188 -6.074 -5.88  -1.118]
314	1	2	[-0.603  -0.4368  0.723   0.538 ]
315	0	0	[ 1.402 -2.045  0.887 -0.828]
316	2	2	[-3.416 -2.084 -0.513 -3.816]
317	2	2	[ 1.373   0.6763  2.666  -0.2715]
318	2	2	[-2.783 -3.348 -2.213 -2.973]
319	0	2	[ 0.3213 -2.545   0.4412 -1.231 ]
320	0	0	[3.746 1.534 2.383 1.392]
321	0	0	[ 3.254   2.33    1.094  -0.2612]
322	0	0	[-3.652 -4.37  -5.297 -3.9  ]
323	0	3	[-1.12  -4.316 -3.82  -0.756]
324	2	1	[-4.383 -1.676 -2.383 -3.602]
325	2	1	[-3.602 -1.676 -3.04  -4.383]
326	1	1	[ 1.957   2.523   1.178  -0.3335]
327	2	2	[-4.492 -2.424 -1.905 -4.51 ]
328	3	0	[-3.195 -4.906 -3.436 -3.846]
329	3	3	[-3.047 -4.19  -3.541 -1.171]
330	0	3	[-3.084 -4.207 -6.38  -2.297]
331	2	2	[-4.977 -5.305 -1.49  -4.54 ]
332	2	0	[2.826  0.1641 2.424  2.467 ]
333	2	2	[2.467  2.826  3.02   0.1641]
334	3	3	[-3.184 -3.74  -3.639 -3.086]
335	2	3	[-2.727 -3.223 -2.34  -2.104]
336	2	2	[-4.617   -5.117   -0.08636 -5.35   ]
337	2	2	[-3.291 -4.69  -2.002 -5.203]
338	2	2	[-3.291  -5.203  -0.5635 -4.69  ]
339	3	3	[-1.94    0.3545 -0.6865  0.3706]
340	2	2	[-0.6865 -1.94    0.4148  0.3545]
341	2	2	[-0.3826 -1.662   1.79    0.982 ]
342	2	2	[-1.662  -0.3826  2.188   0.982 ]
343	1	0	[ 0.84   0.837 -3.562 -1.975]
344	3	3	[-2.184 -2.406 -3.795  1.226]
345	3	0	[-2.932 -4.055 -4.11  -4.02 ]
346	2	2	[-2.47  -1.848 -0.914 -4.43 ]
347	0	0	[3.742 2.14  1.953 1.007]
348	0	0	[3.531 1.953 2.14  1.007]
349	3	1	[0.1493 2.678  2.477  1.661 ]
350	2	2	[-0.8213 -1.548  -0.3154 -0.535 ]
351	1	1	[-4.32    0.3784 -4.824  -4.395 ]
352	2	0	[4.07  1.179 3.81  3.068]
353	3	1	[-3.738 -1.595 -4.676 -2.402]
354	0	0	[-1.986 -5.957 -6.54  -4.883]
355	0	0	[-3.162 -5.004 -5.258 -5.434]
356	3	3	[-3.264 -4.05  -4.12   2.053]
357	3	1	[-3.79  -1.668 -3.328 -2.139]
358	0	0	[-1.083 -3.32  -3.836 -3.97 ]
359	3	2	[-4.594 -5.484 -2.867 -3.324]
360	2	3	[-3.883  -3.324  -3.336  -0.6577]
361	2	2	[-1.94   0.72   2.395 -1.549]
362	0	3	[ 0.00803 -0.3242  -0.847    1.191  ]
363	1	0	[-0.5625 -1.15   -2.117  -3.63  ]
364	1	1	[-3.938 -2.438 -3.506 -2.584]
365	3	2	[0.3735 0.4849 0.81   0.535 ]
366	1	0	[ 0.81   -0.569   0.4849  0.3735]
367	2	2	[-3.822 -5.566 -2.656 -4.637]
368	2	0	[ 2.568  -0.4087  1.863  -0.8643]
369	1	2	[-5.465 -4.363 -2.69  -3.254]
370	0	3	[ 0.797  -0.857   0.4143  1.78  ]
371	2	2	[-3.734 -4.848 -0.714 -2.613]
372	0	0	[-1.98  -3.734 -4.848 -2.613]
373	1	2	[-4.68  -3.193 -2.645 -5.227]
374	2	1	[-1.381  -0.6123 -1.261  -1.394 ]
375	1	1	[-1.394  -0.564  -0.6123 -1.381 ]
376	3	0	[-1.325 -1.57  -3.578 -3.875]
377	0	3	[-3.23  -3.578 -1.57  -1.325]
378	0	2	[-2.295 -4.688 -2.11  -3.379]
379	2	1	[-0.2754  2.342   0.9663  2.123 ]
380	3	2	[ 2.123  -0.2754  2.342   1.877 ]
381	2	2	[ 0.02658 -2.826    1.304    0.1749 ]
382	3	3	[ 0.02658 -2.826    0.1749   0.4548 ]
383	2	2	[-3.352 -5.117 -0.528 -1.146]
384	1	1	[-0.607  -0.2507 -0.4033 -0.5537]
385	0	0	[-2.506 -5.434 -3.879 -3.303]
386	3	3	[-0.11224  2.227    1.564    2.41   ]
387	0	1	[-1.824  0.3   -1.349 -3.531]
388	2	3	[-1.742  0.468 -0.628  1.395]
389	1	3	[-3.025 -2.549 -3.637 -2.148]
390	1	1	[-2.822 -2.45  -3.629 -2.83 ]
391	3	1	[-4.63  -3.36  -3.66  -4.047]
392	1	1	[-1.796  -0.6167 -4.266  -1.199 ]
393	2	2	[-3.06   -1.785  -0.2118 -1.131 ]
394	1	1	[3.195 5.02  1.948 3.742]
395	3	3	[-4.82  -5.82  -5.28  -4.094]
396	0	0	[ 0.04752 -3.303   -4.496   -2.486  ]
397	2	0	[-1.031 -2.518 -2.688 -2.244]
398	3	3	[-4.523  -5.312  -5.1     0.1194]
399	0	0	[-2.197 -6.62  -6.773 -6.68 ]
400	3	2	[-3.078 -2.078  1.958  1.729]
401	2	2	[-5.133 -5.44  -5.09  -5.64 ]
402	0	1	[-2.088 -1.969 -2.668 -2.924]
403	1	1	[-0.827    1.367    0.02112 -3.227  ]
404	3	3	[-5.016 -5.99  -5.656 -1.354]
405	0	0	[ 2.57   0.67  -0.644 -1.159]
406	1	1	[-2.8    -0.5503 -2.379  -2.535 ]
407	3	3	[-3.264 -3.24  -3.32  -2.734]
408	0	0	[ 2.252 -1.259 -2.5   -2.158]
409	0	0	[-1.327 -2.533 -1.814 -2.9  ]
410	2	2	[-1.305   -1.512    0.868   -0.02356]
411	3	3	[-1.213  -1.714  -0.3108  2.287 ]
412	3	2	[-5.832 -5.094 -4.918 -5.277]
413	2	1	[-3.93  -2.291 -2.824 -3.125]
414	3	3	[ 1.798    2.32    -0.02469  2.814  ]
415	2	2	[ 2.32    -0.02469  3.02     1.798  ]
416	2	2	[-3.979 -3.67  -1.871 -3.465]
417	2	2	[-6.344 -6.637 -5.703 -6.46 ]
418	2	2	[ 0.6973  -0.04504  1.89     1.627  ]
419	0	3	[1.36    1.261   0.08234 2.678  ]
420	3	1	[-4.02  -2.48  -4.02  -4.055]
421	2	2	[ 1.564  0.604  3.434 -0.525]
422	1	1	[-5.71  -2.545 -5.63  -4.016]
423	0	2	[-0.2793  -0.954    0.6333  -0.04233]
424	0	3	[-3.084  -2.105  -2.09   -1.3125]
425	3	3	[-5.426 -5.984 -6.113 -2.785]
426	2	2	[-0.384  -1.636   1.193  -0.2283]
427	0	0	[-0.2206 -0.384  -0.2283 -1.636 ]
428	3	3	[-2.93  -2.857 -2.11   1.861]
429	3	3	[1.475 1.12  1.534 3.379]
430	3	3	[-3.98  -4.94  -3.688 -3.107]
431	0	3	[ 0.4373 -3.33   -2.346   0.7295]
432	3	3	[-6.418 -6.434 -6.15  -2.57 ]
433	2	2	[-3.615  -3.383  -0.1048 -1.437 ]
434	2	1	[-3.615 -1.437 -3.58  -3.383]
435	0	2	[-1.338  -1.158   0.6455 -0.932 ]
436	3	0	[-0.9995 -2.123  -1.669  -1.079 ]
437	0	1	[-0.932   0.6455 -1.158  -1.823 ]
438	1	2	[-1.669  -2.123  -0.9995 -2.266 ]
439	2	3	[-3.48  -2.234 -2.912 -2.139]
440	1	1	[-5.348 -1.127 -3.96  -5.117]
441	3	3	[-4.258 -4.316 -4.24  -3.803]
442	1	1	[-3.512   -0.12335 -3.78    -2.752  ]
443	2	0	[ 1.695    0.7183   0.9697  -0.03827]
444	0	0	[ 3.861    0.7183   1.695   -0.03827]
445	2	1	[-4.805 -3.629 -4.87  -4.36 ]
446	2	0	[-2.502 -2.809 -4.316 -3.979]
447	0	3	[-3.717 -3.979 -2.809 -2.502]
448	0	0	[-1.809 -3.44  -4.215 -2.764]
449	2	2	[-5.395 -3.63   1.062 -5.395]
450	3	3	[-2.508 -1.727 -1.809 -1.024]
451	1	2	[-4.59  -3.62  -2.99  -3.574]
452	3	3	[-0.1583 -4.402  -4.574   0.2834]
453	1	0	[-1.351 -1.732 -2.387 -4.574]
454	1	3	[-4.574 -3.963 -2.387 -1.351]
455	1	3	[-5.023 -2.967 -3.604 -2.633]
456	0	1	[-0.2252  1.307  -1.428  -1.505 ]
457	0	0	[-0.0325 -2.363  -0.0984 -3.43  ]
458	0	0	[ 0.1843 -2.947  -3.441  -4.336 ]
459	3	0	[ 1.593  -1.548  -1.6455 -1.92  ]
460	3	1	[ 0.536   1.593  -1.6455 -1.548 ]
461	1	3	[-0.5396  2.346   1.969   2.525 ]
462	2	0	[-3.54  -5.977 -3.934 -3.701]
463	2	2	[-3.54  -3.701 -3.2   -5.977]
464	3	1	[1.713 1.997 1.7   1.444]
465	0	0	[ 0.1503 -2.746  -1.94   -1.295 ]
466	2	2	[-3.992 -4.28  -2.863 -3.549]
467	1	0	[-0.2451 -1.029  -0.4612 -0.3042]
468	2	2	[-3.143  -3.47   -0.2585 -3.021 ]
469	2	2	[-3.51  -3.506 -1.346 -3.096]
470	3	0	[ 0.6665 -2.008  -0.5425  0.4634]
471	0	0	[-0.548 -4.945 -4.04  -3.951]
472	3	3	[-4.04  -4.945 -3.951  1.837]
473	2	2	[-3.475 -3.947 -1.936 -2.533]
474	2	2	[3.041 3.016 3.771 3.223]
475	1	2	[-1.852 -0.817 -0.248 -3.443]
476	1	1	[-5.55  -5.04  -6.434 -6.227]
477	3	1	[-2.643 -1.822 -3.777 -2.748]
478	0	3	[-1.161   -3.805    0.03806  0.1139 ]
